Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Claim Services,Chrome 71.0.3578.98,,2019-01-22 15:09:52,2019-01-22 15:12:37,2m - 44.526s,FAILED
,,,,,,
Test Cases/UI/Client/Claim Services/Add_NewClaim,Chrome 71.0.3578.98,Add a new Claim and attach a file to it after it has been created.,2019-01-22 15:09:53,2019-01-22 15:10:36,43.456s,FAILED
"UAT = ""https://uat.advancedpricing.com""",Chrome 71.0.3578.98,,2019-01-22 15:09:53,2019-01-22 15:09:53,0.001s,PASSED
"USER = ""qaAuto""",Chrome 71.0.3578.98,,2019-01-22 15:09:53,2019-01-22 15:09:53,0.001s,PASSED
"PASSWD = ""a9yk100dD""",Chrome 71.0.3578.98,,2019-01-22 15:09:53,2019-01-22 15:09:53,0.001s,PASSED
"CLAIMNUMBER = ""22222""",Chrome 71.0.3578.98,,2019-01-22 15:09:53,2019-01-22 15:09:53,0.001s,PASSED
"RXDATE = ""01/18/2019""",Chrome 71.0.3578.98,,2019-01-22 15:09:53,2019-01-22 15:09:53,0.001s,PASSED
"BILLCHRG = ""182019""",Chrome 71.0.3578.98,,2019-01-22 15:09:53,2019-01-22 15:09:53,0.001s,PASSED
"PPONAME = ""None""",Chrome 71.0.3578.98,,2019-01-22 15:09:53,2019-01-22 15:09:53,0.000s,PASSED
"UPFILE = ""C:\uploadAMPS\MedRecords-Demo.png""",Chrome 71.0.3578.98,,2019-01-22 15:09:53,2019-01-22 15:09:53,0.001s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-22 15:09:53,2019-01-22 15:09:56,3.133s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-22 15:09:56,2019-01-22 15:09:57,1.194s,PASSED
navigateToUrl(UAT),Chrome 71.0.3578.98,,2019-01-22 15:09:57,2019-01-22 15:09:59,1.544s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 15:09:59,2019-01-22 15:09:59,0.048s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userCode""), USER)",Chrome 71.0.3578.98,,2019-01-22 15:09:59,2019-01-22 15:09:59,0.178s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userPassword""), PASSWD)",Chrome 71.0.3578.98,,2019-01-22 15:09:59,2019-01-22 15:09:59,0.157s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/input_loginButton""), 5)",Chrome 71.0.3578.98,,2019-01-22 15:09:59,2019-01-22 15:09:59,0.053s,PASSED
"click(findTestObject(""UI/Client/Claim Services/input_loginButton""))",Chrome 71.0.3578.98,,2019-01-22 15:09:59,2019-01-22 15:10:00,0.106s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 15:10:00,2019-01-22 15:10:00,0.009s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/span_ABMSClient""), 5)",Chrome 71.0.3578.98,,2019-01-22 15:10:00,2019-01-22 15:10:01,1.129s,PASSED
"click(findTestObject(""UI/Client/Claim Services/span_ABMSClient""))",Chrome 71.0.3578.98,,2019-01-22 15:10:01,2019-01-22 15:10:01,0.316s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 15:10:01,2019-01-22 15:10:01,0.006s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/NewClaim/a_addClaim""), 5)",Chrome 71.0.3578.98,,2019-01-22 15:10:01,2019-01-22 15:10:01,0.030s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/a_addClaim""))",Chrome 71.0.3578.98,,2019-01-22 15:10:01,2019-01-22 15:10:01,0.212s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 15:10:01,2019-01-22 15:10:01,0.007s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-22 15:10:01,2019-01-22 15:10:04,3.026s,PASSED
"focus(findTestObject(""UI/Client/Claim Services/NewClaim/h4_termsConditions""))",Chrome 71.0.3578.98,,2019-01-22 15:10:04,2019-01-22 15:10:36,31.855s,FAILED
,,,,,,
Test Cases/UI/Client/Claim Services/Claim_Details,Chrome 71.0.3578.98,Click on a specific Claim to display its contents.,2019-01-22 15:10:36,2019-01-22 15:10:52,15.846s,PASSED
"UAT = ""https://uat.advancedpricing.com""",Chrome 71.0.3578.98,,2019-01-22 15:10:36,2019-01-22 15:10:36,0.000s,PASSED
"USER = ""qaAuto""",Chrome 71.0.3578.98,,2019-01-22 15:10:36,2019-01-22 15:10:36,0.001s,PASSED
