Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Claim Services,Chrome 71.0.3578.98,,2019-01-23 10:54:00,2019-01-23 10:57:15,3m - 15.064s,PASSED
,,,,,,
Test Cases/UI/Client/Claim Services/Add_NewClaim,Chrome 71.0.3578.98,Add a new Claim and attach a file to it after it has been created.,2019-01-23 10:54:00,2019-01-23 10:55:11,1m - 11.274s,PASSED
"UAT = ""https://uat.advancedpricing.com""",Chrome 71.0.3578.98,,2019-01-23 10:54:00,2019-01-23 10:54:00,0.001s,PASSED
"USER = ""qaAuto""",Chrome 71.0.3578.98,,2019-01-23 10:54:00,2019-01-23 10:54:00,0.001s,PASSED
"PASSWD = ""a9yk100dD""",Chrome 71.0.3578.98,,2019-01-23 10:54:00,2019-01-23 10:54:00,0.000s,PASSED
"CLAIMNUMBER = ""22222""",Chrome 71.0.3578.98,,2019-01-23 10:54:00,2019-01-23 10:54:00,0.000s,PASSED
"RXDATE = ""01/18/2019""",Chrome 71.0.3578.98,,2019-01-23 10:54:00,2019-01-23 10:54:00,0.001s,PASSED
"BILLCHRG = ""182019""",Chrome 71.0.3578.98,,2019-01-23 10:54:00,2019-01-23 10:54:00,0.001s,PASSED
"PPONAME = ""None""",Chrome 71.0.3578.98,,2019-01-23 10:54:00,2019-01-23 10:54:00,0.000s,PASSED
"UPFILE = ""C:\uploadAMPS\MedRecords-Demo.png""",Chrome 71.0.3578.98,,2019-01-23 10:54:00,2019-01-23 10:54:00,0.000s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-23 10:54:00,2019-01-23 10:54:03,3.045s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-23 10:54:03,2019-01-23 10:54:04,1.156s,PASSED
navigateToUrl(UAT),Chrome 71.0.3578.98,,2019-01-23 10:54:04,2019-01-23 10:54:06,1.629s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 10:54:06,2019-01-23 10:54:06,0.052s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userCode""), USER)",Chrome 71.0.3578.98,,2019-01-23 10:54:06,2019-01-23 10:54:06,0.154s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userPassword""), PASSWD)",Chrome 71.0.3578.98,,2019-01-23 10:54:06,2019-01-23 10:54:06,0.141s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/input_loginButton""), 5)",Chrome 71.0.3578.98,,2019-01-23 10:54:06,2019-01-23 10:54:06,0.045s,PASSED
"click(findTestObject(""UI/Client/Claim Services/input_loginButton""))",Chrome 71.0.3578.98,,2019-01-23 10:54:06,2019-01-23 10:54:07,0.108s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 10:54:07,2019-01-23 10:54:07,0.006s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/span_ABMSClient""), 5)",Chrome 71.0.3578.98,,2019-01-23 10:54:07,2019-01-23 10:54:08,1.166s,PASSED
"click(findTestObject(""UI/Client/Claim Services/span_ABMSClient""))",Chrome 71.0.3578.98,,2019-01-23 10:54:08,2019-01-23 10:54:08,0.308s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 10:54:08,2019-01-23 10:54:08,0.006s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/NewClaim/a_addClaim""), 5)",Chrome 71.0.3578.98,,2019-01-23 10:54:08,2019-01-23 10:54:08,0.032s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/a_addClaim""))",Chrome 71.0.3578.98,,2019-01-23 10:54:08,2019-01-23 10:54:08,0.195s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-23 10:54:08,2019-01-23 10:54:08,0.006s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 10:54:08,2019-01-23 10:54:11,3.015s,PASSED
"focus(findTestObject(""UI/Client/Claim Services/NewClaim/h4_termsConditions""))",Chrome 71.0.3578.98,,2019-01-23 10:54:11,2019-01-23 10:54:11,0.058s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 10:54:11,2019-01-23 10:54:14,3.002s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/button_Accept""))",Chrome 71.0.3578.98,,2019-01-23 10:54:14,2019-01-23 10:54:15,0.527s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 10:54:15,2019-01-23 10:54:17,2.000s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Claim Services/NewClaim/span_newClaimHeader""), 5)",Chrome 71.0.3578.98,,2019-01-23 10:54:17,2019-01-23 10:54:17,0.040s,PASSED
"newClaim = getText(findTestObject(""UI/Client/Claim Services/NewClaim/span_newClaimHeader""))",Chrome 71.0.3578.98,,2019-01-23 10:54:17,2019-01-23 10:54:17,0.036s,PASSED
"verifyMatch(newClaim, ""New"", false)",Chrome 71.0.3578.98,,2019-01-23 10:54:17,2019-01-23 10:54:17,0.007s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-23 10:54:17,2019-01-23 10:54:20,3.003s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/NewClaim/select_clientGroupId""), 5)",Chrome 71.0.3578.98,,2019-01-23 10:54:20,2019-01-23 10:54:20,0.067s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/select_clientGroupId""))",Chrome 71.0.3578.98,,2019-01-23 10:54:20,2019-01-23 10:54:20,0.140s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 10:54:20,2019-01-23 10:54:22,2.003s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/option_twoKellog""))",Chrome 71.0.3578.98,,2019-01-23 10:54:22,2019-01-23 10:54:22,0.118s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 10:54:22,2019-01-23 10:54:24,2.003s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Claim Services/NewClaim/input_claimNumber""), 5)",Chrome 71.0.3578.98,,2019-01-23 10:54:24,2019-01-23 10:54:24,0.081s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/NewClaim/input_claimNumber""), CLAIMNUMBER)",Chrome 71.0.3578.98,,2019-01-23 10:54:24,2019-01-23 10:54:25,0.226s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 10:54:25,2019-01-23 10:54:27,2.003s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Claim Services/NewClaim/input_receiveDate""), 5)",Chrome 71.0.3578.98,,2019-01-23 10:54:27,2019-01-23 10:54:27,0.069s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/NewClaim/input_receiveDate""), RXDATE)",Chrome 71.0.3578.98,,2019-01-23 10:54:27,2019-01-23 10:54:27,0.232s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 10:54:27,2019-01-23 10:54:29,2.003s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/NewClaim/radio_noneNetwork""), 5)",Chrome 71.0.3578.98,,2019-01-23 10:54:29,2019-01-23 10:54:29,0.066s,PASSED
"check(findTestObject(""UI/Client/Claim Services/NewClaim/radio_noneNetwork""))",Chrome 71.0.3578.98,,2019-01-23 10:54:29,2019-01-23 10:54:29,0.119s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 10:54:29,2019-01-23 10:54:31,2.000s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Claim Services/NewClaim/input_billedCharges""), 5)",Chrome 71.0.3578.98,,2019-01-23 10:54:31,2019-01-23 10:54:31,0.033s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/NewClaim/input_billedCharges""), BILLCHRG)",Chrome 71.0.3578.98,,2019-01-23 10:54:31,2019-01-23 10:54:31,0.143s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-23 10:54:31,2019-01-23 10:54:33,2.002s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Claim Services/NewClaim/input_ppoName""), 5)",Chrome 71.0.3578.98,,2019-01-23 10:54:33,2019-01-23 10:54:33,0.088s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/NewClaim/input_ppoName""), PPONAME)",Chrome 71.0.3578.98,,2019-01-23 10:54:33,2019-01-23 10:54:34,0.134s,PASSED
