Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Claim Services,Chrome 71.0.3578.98,,2019-01-22 15:03:28,2019-01-22 15:06:26,2m - 58.175s,FAILED
,,,,,,
Test Cases/UI/Client/Claim Services/Add_NewClaim,Chrome 71.0.3578.98,Add a new Claim and attach a file to it after it has been created.,2019-01-22 15:03:28,2019-01-22 15:04:40,1m - 11.526s,PASSED
"UAT = ""https://uat.advancedpricing.com""",Chrome 71.0.3578.98,,2019-01-22 15:03:29,2019-01-22 15:03:29,0.001s,PASSED
"USER = ""qaAuto""",Chrome 71.0.3578.98,,2019-01-22 15:03:29,2019-01-22 15:03:29,0.000s,PASSED
"PASSWD = ""a9yk100dD""",Chrome 71.0.3578.98,,2019-01-22 15:03:29,2019-01-22 15:03:29,0.000s,PASSED
"CLAIMNUMBER = ""22222""",Chrome 71.0.3578.98,,2019-01-22 15:03:29,2019-01-22 15:03:29,0.000s,PASSED
"RXDATE = ""01/18/2019""",Chrome 71.0.3578.98,,2019-01-22 15:03:29,2019-01-22 15:03:29,0.000s,PASSED
"BILLCHRG = ""182019""",Chrome 71.0.3578.98,,2019-01-22 15:03:29,2019-01-22 15:03:29,0.000s,PASSED
"PPONAME = ""None""",Chrome 71.0.3578.98,,2019-01-22 15:03:29,2019-01-22 15:03:29,0.000s,PASSED
"UPFILE = ""C:\uploadAMPS\MedRecords-Demo.png""",Chrome 71.0.3578.98,,2019-01-22 15:03:29,2019-01-22 15:03:29,0.000s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-22 15:03:29,2019-01-22 15:03:32,3.170s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-22 15:03:32,2019-01-22 15:03:33,1.180s,PASSED
navigateToUrl(UAT),Chrome 71.0.3578.98,,2019-01-22 15:03:33,2019-01-22 15:03:34,1.505s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 15:03:34,2019-01-22 15:03:34,0.054s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userCode""), USER)",Chrome 71.0.3578.98,,2019-01-22 15:03:34,2019-01-22 15:03:35,0.177s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userPassword""), PASSWD)",Chrome 71.0.3578.98,,2019-01-22 15:03:35,2019-01-22 15:03:35,0.160s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/input_loginButton""), 5)",Chrome 71.0.3578.98,,2019-01-22 15:03:35,2019-01-22 15:03:35,0.058s,PASSED
"click(findTestObject(""UI/Client/Claim Services/input_loginButton""))",Chrome 71.0.3578.98,,2019-01-22 15:03:35,2019-01-22 15:03:35,0.119s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 15:03:35,2019-01-22 15:03:35,0.006s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/span_ABMSClient""), 5)",Chrome 71.0.3578.98,,2019-01-22 15:03:35,2019-01-22 15:03:36,1.121s,PASSED
"click(findTestObject(""UI/Client/Claim Services/span_ABMSClient""))",Chrome 71.0.3578.98,,2019-01-22 15:03:36,2019-01-22 15:03:36,0.286s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 15:03:36,2019-01-22 15:03:36,0.006s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/NewClaim/a_addClaim""), 5)",Chrome 71.0.3578.98,,2019-01-22 15:03:36,2019-01-22 15:03:36,0.029s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/a_addClaim""))",Chrome 71.0.3578.98,,2019-01-22 15:03:36,2019-01-22 15:03:37,0.207s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 15:03:37,2019-01-22 15:03:37,0.007s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-22 15:03:37,2019-01-22 15:03:40,3.024s,PASSED
"focus(findTestObject(""UI/Client/Claim Services/NewClaim/h4_termsConditions""))",Chrome 71.0.3578.98,,2019-01-22 15:03:40,2019-01-22 15:03:40,0.113s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-22 15:03:40,2019-01-22 15:03:43,3.001s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/button_Accept""))",Chrome 71.0.3578.98,,2019-01-22 15:03:43,2019-01-22 15:03:43,0.432s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-22 15:03:43,2019-01-22 15:03:45,2.001s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Claim Services/NewClaim/span_newClaimHeader""), 5)",Chrome 71.0.3578.98,,2019-01-22 15:03:45,2019-01-22 15:03:45,0.090s,PASSED
"newClaim = getText(findTestObject(""UI/Client/Claim Services/NewClaim/span_newClaimHeader""))",Chrome 71.0.3578.98,,2019-01-22 15:03:45,2019-01-22 15:03:45,0.046s,PASSED
"verifyMatch(newClaim, ""New"", false)",Chrome 71.0.3578.98,,2019-01-22 15:03:45,2019-01-22 15:03:45,0.008s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-22 15:03:45,2019-01-22 15:03:48,3.002s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/NewClaim/select_clientGroupId""), 5)",Chrome 71.0.3578.98,,2019-01-22 15:03:48,2019-01-22 15:03:48,0.091s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/select_clientGroupId""))",Chrome 71.0.3578.98,,2019-01-22 15:03:48,2019-01-22 15:03:49,0.128s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-22 15:03:49,2019-01-22 15:03:51,2.002s,PASSED
"click(findTestObject(""UI/Client/Claim Services/NewClaim/option_twoKellog""))",Chrome 71.0.3578.98,,2019-01-22 15:03:51,2019-01-22 15:03:51,0.120s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-22 15:03:51,2019-01-22 15:03:53,2.004s,PASSED
"waitForElementVisible(findTestObject(""UI/Client/Claim Services/NewClaim/input_claimNumber""), 5)",Chrome 71.0.3578.98,,2019-01-22 15:03:53,2019-01-22 15:03:53,0.086s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/NewClaim/input_claimNumber""), CLAIMNUMBER)",Chrome 71.0.3578.98,,2019-01-22 15:03:53,2019-01-22 15:03:53,0.176s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-22 15:03:53,2019-01-22 15:03:55,2.004s,PASSED
