Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Claim Services,Chrome 71.0.3578.98,,2019-01-22 17:51:01,2019-01-22 17:54:14,3m - 12.185s,PASSED
,,,,,,
Test Cases/UI/Client/Claim Services/Add_NewClaim,Chrome 71.0.3578.98,Add a new Claim and attach a file to it after it has been created.,2019-01-22 17:51:02,2019-01-22 17:52:13,1m - 11.502s,PASSED
"UAT = ""https://uat.advancedpricing.com""",Chrome 71.0.3578.98,,2019-01-22 17:51:02,2019-01-22 17:51:02,0.003s,PASSED
"USER = ""qaAuto""",Chrome 71.0.3578.98,,2019-01-22 17:51:02,2019-01-22 17:51:02,0.000s,PASSED
"PASSWD = ""a9yk100dD""",Chrome 71.0.3578.98,,2019-01-22 17:51:02,2019-01-22 17:51:02,0.000s,PASSED
"CLAIMNUMBER = ""22222""",Chrome 71.0.3578.98,,2019-01-22 17:51:02,2019-01-22 17:51:02,0.000s,PASSED
"RXDATE = ""01/18/2019""",Chrome 71.0.3578.98,,2019-01-22 17:51:02,2019-01-22 17:51:02,0.000s,PASSED
"BILLCHRG = ""182019""",Chrome 71.0.3578.98,,2019-01-22 17:51:02,2019-01-22 17:51:02,0.000s,PASSED
"PPONAME = ""None""",Chrome 71.0.3578.98,,2019-01-22 17:51:02,2019-01-22 17:51:02,0.000s,PASSED
"UPFILE = ""C:\uploadAMPS\MedRecords-Demo.png""",Chrome 71.0.3578.98,,2019-01-22 17:51:02,2019-01-22 17:51:02,0.000s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-22 17:51:02,2019-01-22 17:51:05,3.147s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-22 17:51:05,2019-01-22 17:51:06,1.182s,PASSED
navigateToUrl(UAT),Chrome 71.0.3578.98,,2019-01-22 17:51:06,2019-01-22 17:51:08,1.487s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 17:51:08,2019-01-22 17:51:08,0.049s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userCode""), USER)",Chrome 71.0.3578.98,,2019-01-22 17:51:08,2019-01-22 17:51:08,0.183s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userPassword""), PASSWD)",Chrome 71.0.3578.98,,2019-01-22 17:51:08,2019-01-22 17:51:08,0.149s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/input_loginButton""), 5)",Chrome 71.0.3578.98,,2019-01-22 17:51:08,2019-01-22 17:51:08,0.056s,PASSED
"click(findTestObject(""UI/Client/Claim Services/input_loginButton""))",Chrome 71.0.3578.98,,2019-01-22 17:51:08,2019-01-22 17:51:08,0.110s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 17:51:08,2019-01-22 17:51:08,0.007s,PASSED
