Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Rule Editor,Chrome 71.0.3578.98,,2019-01-22 14:15:12,2019-01-22 14:18:20,3m - 8.988s,FAILED
,,,,,,
Test Cases/UI/Client/Rule Editor/Create New Rule Set,Chrome 71.0.3578.98,Create a new Rule Set with rules in it and create another new Rule Set without any rules.,2019-01-22 14:15:12,2019-01-22 14:15:39,27.352s,FAILED
"UAT = ""https://uat.advancedpricing.com""",Chrome 71.0.3578.98,,2019-01-22 14:15:12,2019-01-22 14:15:12,0.002s,PASSED
"USER = ""qaAuto""",Chrome 71.0.3578.98,,2019-01-22 14:15:12,2019-01-22 14:15:12,0.001s,PASSED
"PASSWD = ""a9yk100dD""",Chrome 71.0.3578.98,,2019-01-22 14:15:12,2019-01-22 14:15:12,0.001s,PASSED
"RULESETNAME = ""AAAA Rule Set""",Chrome 71.0.3578.98,,2019-01-22 14:15:12,2019-01-22 14:15:12,0.000s,PASSED
"VALIDFROM = ""01/18/2019""",Chrome 71.0.3578.98,,2019-01-22 14:15:12,2019-01-22 14:15:12,0.000s,PASSED
"VALIDTO = ""01/30/2019""",Chrome 71.0.3578.98,,2019-01-22 14:15:12,2019-01-22 14:15:12,0.001s,PASSED
"RULESETTYPE = ""Claim""",Chrome 71.0.3578.98,,2019-01-22 14:15:12,2019-01-22 14:15:12,0.001s,PASSED
"RULENAME = ""First Rule""",Chrome 71.0.3578.98,,2019-01-22 14:15:12,2019-01-22 14:15:12,0.001s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-22 14:15:12,2019-01-22 14:15:15,3.032s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-22 14:15:15,2019-01-22 14:15:16,1.159s,PASSED
navigateToUrl(UAT),Chrome 71.0.3578.98,,2019-01-22 14:15:16,2019-01-22 14:15:18,1.877s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-01-22 14:15:18,2019-01-22 14:15:18,0.051s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userCode""), USER)",Chrome 71.0.3578.98,,2019-01-22 14:15:18,2019-01-22 14:15:18,0.150s,PASSED
"setText(findTestObject(""UI/Client/Claim Services/input_userPassword""), PASSWD)",Chrome 71.0.3578.98,,2019-01-22 14:15:18,2019-01-22 14:15:19,0.134s,PASSED
"waitForElementClickable(findTestObject(""UI/Client/Claim Services/input_loginButton""), 5)",Chrome 71.0.3578.98,,2019-01-22 14:15:19,2019-01-22 14:15:19,0.045s,PASSED
